Topic: topic1, Key: 0, SepalLengthCm: 5.1, SepalWidthCm: 3.5, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 1, SepalLengthCm: 4.9, SepalWidthCm: 3.0, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 2, SepalLengthCm: 4.7, SepalWidthCm: 3.2, PetalLengthCm: 1.3, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 3, SepalLengthCm: 4.6, SepalWidthCm: 3.1, PetalLengthCm: 1.5, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 4, SepalLengthCm: 5.0, SepalWidthCm: 3.6, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 5, SepalLengthCm: 5.4, SepalWidthCm: 3.9, PetalLengthCm: 1.7, PetalWidthCm: 0.4, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 6, SepalLengthCm: 4.6, SepalWidthCm: 3.4, PetalLengthCm: 1.4, PetalWidthCm: 0.3, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 7, SepalLengthCm: 5.0, SepalWidthCm: 3.4, PetalLengthCm: 1.5, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 8, SepalLengthCm: 4.4, SepalWidthCm: 2.9, PetalLengthCm: 1.4, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 9, SepalLengthCm: 4.9, SepalWidthCm: 3.1, PetalLengthCm: 1.5, PetalWidthCm: 0.1, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 10, SepalLengthCm: 5.4, SepalWidthCm: 3.7, PetalLengthCm: 1.5, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 11, SepalLengthCm: 4.8, SepalWidthCm: 3.4, PetalLengthCm: 1.6, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 12, SepalLengthCm: 4.8, SepalWidthCm: 3.0, PetalLengthCm: 1.4, PetalWidthCm: 0.1, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 13, SepalLengthCm: 4.3, SepalWidthCm: 3.0, PetalLengthCm: 1.1, PetalWidthCm: 0.1, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 14, SepalLengthCm: 5.8, SepalWidthCm: 4.0, PetalLengthCm: 1.2, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 15, SepalLengthCm: 5.7, SepalWidthCm: 4.4, PetalLengthCm: 1.5, PetalWidthCm: 0.4, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 16, SepalLengthCm: 5.4, SepalWidthCm: 3.9, PetalLengthCm: 1.3, PetalWidthCm: 0.4, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 17, SepalLengthCm: 5.1, SepalWidthCm: 3.5, PetalLengthCm: 1.4, PetalWidthCm: 0.3, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 18, SepalLengthCm: 5.7, SepalWidthCm: 3.8, PetalLengthCm: 1.7, PetalWidthCm: 0.3, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 19, SepalLengthCm: 5.1, SepalWidthCm: 3.8, PetalLengthCm: 1.5, PetalWidthCm: 0.3, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 20, SepalLengthCm: 5.4, SepalWidthCm: 3.4, PetalLengthCm: 1.7, PetalWidthCm: 0.2, Species: Iris-setosa, Partition: 0
Topic: topic1, Key: 21, SepalLengthCm: 5.1, SepalWidthCm: 3.7, PetalLengthCm: 1.5, PetalWidthCm: 0.4, Species: Iris-setosa, Partition: 0
