Topic: topic1, Key: 0, SepalLengthCm: 7.0, SepalWidthCm: 3.2, PetalLengthCm: 4.7, PetalWidthCm: 1.4, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 1, SepalLengthCm: 6.4, SepalWidthCm: 3.2, PetalLengthCm: 4.5, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 2, SepalLengthCm: 6.9, SepalWidthCm: 3.1, PetalLengthCm: 4.9, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 3, SepalLengthCm: 5.5, SepalWidthCm: 2.3, PetalLengthCm: 4.0, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 4, SepalLengthCm: 6.5, SepalWidthCm: 2.8, PetalLengthCm: 4.6, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 5, SepalLengthCm: 5.7, SepalWidthCm: 2.8, PetalLengthCm: 4.5, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 6, SepalLengthCm: 6.3, SepalWidthCm: 3.3, PetalLengthCm: 4.7, PetalWidthCm: 1.6, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 7, SepalLengthCm: 4.9, SepalWidthCm: 2.4, PetalLengthCm: 3.3, PetalWidthCm: 1.0, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 8, SepalLengthCm: 6.6, SepalWidthCm: 2.9, PetalLengthCm: 4.6, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 9, SepalLengthCm: 5.2, SepalWidthCm: 2.7, PetalLengthCm: 3.9, PetalWidthCm: 1.4, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 10, SepalLengthCm: 5.0, SepalWidthCm: 2.0, PetalLengthCm: 3.5, PetalWidthCm: 1.0, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 11, SepalLengthCm: 5.9, SepalWidthCm: 3.0, PetalLengthCm: 4.2, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 12, SepalLengthCm: 6.0, SepalWidthCm: 2.2, PetalLengthCm: 4.0, PetalWidthCm: 1.0, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 13, SepalLengthCm: 6.1, SepalWidthCm: 2.9, PetalLengthCm: 4.7, PetalWidthCm: 1.4, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 14, SepalLengthCm: 5.6, SepalWidthCm: 2.9, PetalLengthCm: 3.6, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 15, SepalLengthCm: 6.7, SepalWidthCm: 3.1, PetalLengthCm: 4.4, PetalWidthCm: 1.4, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 16, SepalLengthCm: 5.6, SepalWidthCm: 3.0, PetalLengthCm: 4.5, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 17, SepalLengthCm: 5.8, SepalWidthCm: 2.7, PetalLengthCm: 4.1, PetalWidthCm: 1.0, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 18, SepalLengthCm: 6.2, SepalWidthCm: 2.2, PetalLengthCm: 4.5, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 19, SepalLengthCm: 5.6, SepalWidthCm: 2.5, PetalLengthCm: 3.9, PetalWidthCm: 1.1, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 20, SepalLengthCm: 5.9, SepalWidthCm: 3.2, PetalLengthCm: 4.8, PetalWidthCm: 1.8, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 21, SepalLengthCm: 6.1, SepalWidthCm: 2.8, PetalLengthCm: 4.0, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 22, SepalLengthCm: 6.3, SepalWidthCm: 2.5, PetalLengthCm: 4.9, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 23, SepalLengthCm: 6.1, SepalWidthCm: 2.8, PetalLengthCm: 4.7, PetalWidthCm: 1.2, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 24, SepalLengthCm: 6.4, SepalWidthCm: 2.9, PetalLengthCm: 4.3, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 25, SepalLengthCm: 6.6, SepalWidthCm: 3.0, PetalLengthCm: 4.4, PetalWidthCm: 1.4, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 26, SepalLengthCm: 6.8, SepalWidthCm: 2.8, PetalLengthCm: 4.8, PetalWidthCm: 1.4, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 27, SepalLengthCm: 6.7, SepalWidthCm: 3.0, PetalLengthCm: 5.0, PetalWidthCm: 1.7, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 28, SepalLengthCm: 6.0, SepalWidthCm: 2.9, PetalLengthCm: 4.5, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 29, SepalLengthCm: 5.7, SepalWidthCm: 2.6, PetalLengthCm: 3.5, PetalWidthCm: 1.0, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 30, SepalLengthCm: 5.5, SepalWidthCm: 2.4, PetalLengthCm: 3.8, PetalWidthCm: 1.1, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 31, SepalLengthCm: 5.5, SepalWidthCm: 2.4, PetalLengthCm: 3.7, PetalWidthCm: 1.0, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 32, SepalLengthCm: 5.8, SepalWidthCm: 2.7, PetalLengthCm: 3.9, PetalWidthCm: 1.2, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 33, SepalLengthCm: 6.0, SepalWidthCm: 2.7, PetalLengthCm: 5.1, PetalWidthCm: 1.6, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 34, SepalLengthCm: 5.4, SepalWidthCm: 3.0, PetalLengthCm: 4.5, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 35, SepalLengthCm: 6.0, SepalWidthCm: 3.4, PetalLengthCm: 4.5, PetalWidthCm: 1.6, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 36, SepalLengthCm: 6.7, SepalWidthCm: 3.1, PetalLengthCm: 4.7, PetalWidthCm: 1.5, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 37, SepalLengthCm: 6.3, SepalWidthCm: 2.3, PetalLengthCm: 4.4, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 38, SepalLengthCm: 5.6, SepalWidthCm: 3.0, PetalLengthCm: 4.1, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 39, SepalLengthCm: 5.5, SepalWidthCm: 2.5, PetalLengthCm: 4.0, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 40, SepalLengthCm: 5.5, SepalWidthCm: 2.6, PetalLengthCm: 4.4, PetalWidthCm: 1.2, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 41, SepalLengthCm: 6.1, SepalWidthCm: 3.0, PetalLengthCm: 4.6, PetalWidthCm: 1.4, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 42, SepalLengthCm: 5.8, SepalWidthCm: 2.6, PetalLengthCm: 4.0, PetalWidthCm: 1.2, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 43, SepalLengthCm: 5.0, SepalWidthCm: 2.3, PetalLengthCm: 3.3, PetalWidthCm: 1.0, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 44, SepalLengthCm: 5.6, SepalWidthCm: 2.7, PetalLengthCm: 4.2, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 45, SepalLengthCm: 5.7, SepalWidthCm: 3.0, PetalLengthCm: 4.2, PetalWidthCm: 1.2, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 46, SepalLengthCm: 5.7, SepalWidthCm: 2.9, PetalLengthCm: 4.2, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 47, SepalLengthCm: 6.2, SepalWidthCm: 2.9, PetalLengthCm: 4.3, PetalWidthCm: 1.3, Species: Iris-versicolor, Partition: 0
Topic: topic1, Key: 48, SepalLengthCm: 5.1, SepalWidthCm: 2.5, PetalLengthCm: 3.0, PetalWidthCm: 1.1, Species: Iris-versicolor, Partition: 0
